name;speicher;leistung;lat;long
Schliersee;SENEC Home V3 hybrid dou - 7.5 kWh;12;47.7349645;11.8625291
Brannenburg;SENEC Home V3 hybrid dou - 7.5 kWh;8.25;47.73150589999999;12.0755412
Ergoldsbach;SENEC Home V3 hybrid dou - 5.0 kWh;6;48.6845665;12.2215127
Göppingen;SENEC Home V3 hybrid dou - 5.0 kWh;10.125;48.6934063;9.637832
Kirchroth;SENEC Home V3 hybrid dou - 5.0 kWh;7.875;48.95444699999999;12.5394407
Waldstetten;SENEC Home V3 hybrid dou - 5.0 kWh;7.5;48.75277639999999;9.8333164
Hohenau;SENEC Home V3 hybrid dou - 7.5 kWh;7.875;48.8498008;13.4889685
Winzer;SENEC Home V3 hybrid dou - 5.0 kWh;7.5;48.7236133;13.0763535
Nordendorf;RCT POWER BATTERY DC 5.7;6;48.5950482;10.8326744
Teisendorf;SENEC Home V3 hybrid dou - 10 kWh;9;47.8584746;12.8349356
Ettenstatt;SENEC Home V3 hybrid dou - 5.0 kWh;9.75;49.0662646;11.0537266
Gerlingen;SENEC Home V3 hybrid dou - 5.0 kWh;7.125;48.7908056;9.0651574
Stuttgart;SENEC Home V3 hybrid dou - 5.0 kWh;7.125;48.8130331;9.1044082
Deggingen;SENEC Home V3 hybrid dou - 10 kWh;12.75;48.5980781;9.7227005
Uhingen;SENEC Home V3 hybrid dou - 5.0 kWh;9;48.71942010000001;9.5691887
Blaubeuren;RCT POWER BATTERY DC 5.7;6.75;48.4017399;9.8013294
Feucht;SENEC Home V3 hybrid dou - 5.0 kWh;6;49.3748517;11.2291112
Siegenburg;SENEC Home V3 hybrid dou - 10 kWh;12.75;48.7536976;11.8485704
Oberostendorf;SENEC Home V3 hybrid -5.0 kWh;5.625;47.9436562;10.7432697
Rutesheim;E3DC S10 E 10.00 kWh;7.5;48.8114796;8.9308473
Leonberg;SENEC Home V3 hybrid dou - 5.0 kWh;5.625;48.8011637;8.997988
Au in der Hallertau;SENEC Home V3 hybrid dou - 7.5 kWh;9.75;48.5555434;11.7086836
