name;speicher;leistung;lat;long
Gaildorf;SENEC Home V3 hybrid Duo - 5,0 kW/h;9.715;48.999918;9.696714
Ehingen;SENEC Home V3 hybrid Duo - 5,0 kW/h;9.92;48.284287;9.404723
Oberschneiding;SENEC Home V3 hybrid Duo - 5,0 kW/h;9.92;48.779770;12.592742
Bühlertann;SENEC Home V3 hybrid Duo - 5,0 kW/h;8.37;49.030569;9.863590
Balzheim;SENEC Home V3 hybrid Duo - 10,0 kW/h;9.92;48.171808;10.017027
Buxheim;SENEC Home V3 hybrid -10 kWh;9.765;48.820622;11.255980
Stamsried;SENEC Home V3 hybrid Duo - 5,0 kW/h;9.92;49.276313;12.446163
Bernhardswald;SENEC Home V3 hybrid Duo - 10,0 kW/h;9.765;49.100948;12.172515
Pfatter;SENEC Home V3 Hybrid Duo - 7,5 kW/h;9.92;48.959861;12.296312
Langfurth;SENEC Home V3 Hybrid Duo - 7,5 kW/h;9.715;49.100342;10.420849
Untermünkheim;SENEC Home V3 hybrid Duo - 10,0 kW/h;8.82;49.167214;9.668603
Bruckberg;SENEC Home V3 hybrid -7,5 kWh;9.765;48.536534;11.941716
Bühlerzell;SENEC Home V3 hybrid Duo - 10,0 kW/h;9.765;48.993393;9.861421
Weiltingen;SENEC Home V3 hybrid Duo - 10,0 kW/h;9.765;49.031483;10.415979
Bayerisch Eisenstein;SENEC Home V3 hybrid Duo - 10,0 kW/h;10.08;49.116755;13.114461
Lichtenstein;SENEC Home V3 Hybrid Duo - 7,5 kW/h;9.715;48.424783;9.196137
Oberdachstetten;SENEC Home V3 Hybrid Duo - 7,5 kW/h;9.715;49.408863;10.367828
Huttbum;SENEC Home V3 hybrid Duo - 5,0 kW/h;7.875;48.688070;13.410566
Heuchbach;SENEC Home V3 Hybrid Duo - 7,5 kW/h;8.82;48.786567;9.875261
Hauzenberg;SENEC Home V3 Hybrid Duo - 7,5 kW/h;9.38;48.645894;13.491769
Weßling;SENEC Home V3 hybrid Duo - 5,0 kW/h;9.715;48.071167;11.223813
Gundelsheim;SENEC Home V3 Hybrid Duo - 7,5 kW/h;8.04;49.290905;9.116382
Seefeld;SENEC Home V3 Hybrid Duo - 7,5 kW/h;9.715;48.036093;11.151271
Schrozberg;SENEC Home V3 hybrid Duo - 5,0 kW/h;7.455;49.351383;9.843698
Adelsdorf ;SENEC Home V3 hybrid Duo - 10,0 kW/h;9.715;49.705723;10.842967
Wiesenttal;SENEC Home V3 hybrid Duo - 10,0 kW/h;9.86;49.826159;11.185079
Winzer;SENEC Home V3 hybrid Duo - 10,0 kW/h;9.86;48.714395;13.018118
Münsingen ;SENEC Home V3 hybrid Duo - 10,0 kW/h;9.86;48.391620;9.389046
Lehrberg;SENEC Home V3 hybrid Duo - 5,0 kW/h;8.71;49.356831;10.427247
Feuchtwangen;SENEC Home V3 hybrid Duo - 10,0 kW/h;9.86;49.172525;10.195800
Bogen;SENEC Home V3 hybrid Duo - 5,0 kW/h;7.48;48.912238;12.645816
Neubiberg;SENEC Home V3 hybrid Duo - 10,0 kW/h;9.86;48.078442;11.614157
Ofterdingen;SENEC Home V3 hybrid Duo - 10,0 kW/h;9.86;48.422561;8.981110
Gschwend;SENEC Home V3 hybrid Duo - 10,0 kW/h;9.86;48.939242;9.689597
Aitrach;SENEC Home V3 hybrid Duo - 5,0 kW/h;9.52;47.942419;9.985036
Steinach;SENEC Home V3 hybrid Duo - 5,0 kW/h;8.16;48.956406;12.536623
Brunnthal;SENEC Home V3 hybrid Duo - 5,0 kW/h;8.84;48.006523;11.604129
Schleching;SENEC Home V3 hybrid Duo - 5,0 kW/h;8.16;47.719338;12.320875
Dießen;SENEC Home V3 Hybrid Duo - 7,5 kW/h;9.86;47.988007;10.928978
Rastatt;SENEC Home V3 hybrid Duo - 10,0 kW/h;9.86;48.867254;8.120034
Größweinstein;SENEC Home V3 hybrid Duo - 10,0 kW/h;9.86;49.768192;11.240482
Lohsee;SENEC Home V3 hybrid Duo - 5,0 kW/h;8.16;48.546213;9.830992
Bernau;SENEC Home V3 Hybrid Duo - 7,5 kW/h;9.86;47.807632;12.302622
Öhringen;SENEC Home V3 hybrid Duo - 10,0 kW/h;9.86;49.216900;9.375800
Ortenburg;SENEC Home V3 hybrid Duo - 5,0 kW/h;8.16;48.557071;13.149033
